Drawing Number,Title,Estimated Completion Date,Released Date,Status
7517-MC-01001-700,"MOD – VANITY, PLAYERS LAV",1/20/2025,1/29/2025,Released
7517-MC-01001-704,"MOD – FINISHES, PLAYERS LAV",2/1/2025,2/4/2025,Released
7517-MF-04201-700,INSTL – SEATS,3/5/2025,4/21/2025,Released
7517-MR-05001-700,MOD – EXIT SIGN,12/15/2024,2/28/2025,Released
7517-MR-05101-700,INSTL – WINDOW SHADES,3/28/2025,4/4/2025,Released
7517-MR-05101-502,ASSY - OVERLAY PANELS,5/15/2025,,Drawing Started
7517-MR-05101-702,INSTL – OVERLAY PANELS,4/2/2025,,Drawing Started
7517-MR-05101-704,INSTL – OUTBOARD SUPPORT STRUCTURE,2/6/2025,3/19/2025,Released
7517-MR-05101-100,"DETAILS – STRUCTURE, SHADES",1/27/2025,1/22/2025,Released
7517-MR-05103-700,MOD –  PANEL,4/11/2025,5/6/2025,Released
7517-MF-01001-700,"MOD – CLOSETS, MID CABIN, LH",1/20/2025,1/29/2025,Released
7517-MF-01001-701,"MOD – CLOSETS, MID CABIN, RH",1/28/2025,1/29/2025,Released
7517-MF-01001-500,ASSY - DROP DOWN TABLE,1/26/2025,1/28/2025,Released
7517-MJ-01001-700,"MOD – VANITY, COACHES LAV",1/28/2025,2/4/2025,Released
7517-MJ-01001-704,"MOD – FINISHES, COACHES LAV",2/12/2025,2/7/2025,Released
7517-MJ-04201-700,"INSTL – SEATS, BUSINESS CLASS",3/29/2025,,Drawing Started
7517-MJ-01003-700,"MOD – CLOSET, ENTERTAINMENT",2/17/2025,2/19/2025,Released
7517-MJ-01005-702,"MOD – FINISHES, CREW LAVS",2/16/2025,2/20/2025,Released
7517-MK-01001-700,"MOD – GALLEY, G1",2/3/2025,3/11/2025,Released
7517-MK-01003-700,"MOD – GALLEY, G2",2/10/2025,3/11/2025,Released
7517-MK-01005-700,"MOD – GALLEY, G4",2/18/2025,3/11/2025,Released
